mesure_dt,area_nm,city,fact_manage_nm,fact_adres,stack_code,hcl_mesure_value,nox_mesure_value,sox_mesure_value,co_mesure_value,tsp_mesure_value,nh3_mesure_value,hf_mesure_value,hcl_exhst_perm_stdr_value,nox_exhst_perm_stdr_value,sox_exhst_perm_stdr_value,co_exhst_perm_stdr_value,tsp_exhst_perm_stdr_value,collected_at
2026-07-10 20:30,충청북도,청주시,대한제지㈜,충청북도 청주시 흥덕구 오송읍 상정쌍청로 256,1,2.12,39.10,0.00,4.24,1.23,,,12,50,20,50,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,대한제지㈜,충청북도 청주시 흥덕구 오송읍 상정쌍청로 256,3,0.68,27.93,0.00,9.53,0.49,,,10,50,20,50,10,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,진천군,동서식품㈜,충청북도 진천군 광혜원면 광혜원산단2길 78-11,1,,11.25,,,,,,,40,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,동흥소재㈜,충청북도 단양군 단양읍 단양로 602-26,1,,81.28,,,,,,,210,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,진천군,롯데패키징솔루션즈(주)진천공장,충청북도 진천군 덕산읍 초금로 318-51,9,,1.64,,,,,,,70,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,리뉴에너지충북(주),충청북도 청주시 청원구 북이면 신대석성로 245,2,3.12,28.41,0.04,7.10,2.36,,,12,50,20,45,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,리뉴에너지충북(주),충청북도 청주시 청원구 북이면 신대석성로 245,3,7.16,39.86,1.21,9.06,2.26,,,12,50,20,45,8,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,리뉴에너지충북(주),충청북도 청주시 청원구 북이면 신대석성로 245,4,5.64,42.21,0.03,5.39,0.94,,,12,50,20,45,8,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,진천군,마이크로웍스 주식회사 진천공장,충청북도 진천군 이월면 고등1길 27,32,,30.58,,,,,,,105,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,충주시,미원스페셜티케미칼㈜ 충주공장,충청북도 충주시 대소원면 기업도시1로 21,10,,23.20,,,,,,,60,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,성신양회㈜ 단양공장,충청북도 단양군 매포읍 매포길 18,10,,,,,4.82,,,,,,,30,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,성신양회㈜ 단양공장,충청북도 단양군 매포읍 매포길 18,11,,,,,0.20,,,,,,,30,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,성신양회㈜ 단양공장,충청북도 단양군 매포읍 매포길 18,12,,,,,3.06,,,,,,,30,2026-07-10 22:05:32
